00:48:41.008 [TUNER] --- CSV START ---
00:48:41.008 [TUNER] Metadata,PID_0(P:12.35200 I:445.32941 D:0.00000),PID_1(P:13.37410 I:478.63708 D:0.00000)
00:48:41.008 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
00:48:45.334 [TUNER] 216,1002,1550.50,1728.00,5.39,0.00,1645.07,1728.00,4.36,0.00
00:48:45.377 [TUNER] 217,998,1550.50,1736.00,5.39,0.00,1645.07,1736.00,4.36,0.00
00:48:45.377 [TUNER] 218,1000,1592.96,1744.00,5.21,0.00,1733.96,1744.00,3.41,0.00
00:48:45.419 [TUNER] 219,1000,1592.96,1752.00,5.21,0.00,1733.96,1752.00,3.41,0.00
00:48:45.419 [TUNER] 220,1000,1739.96,1760.00,3.63,0.00,1876.82,1760.00,1.62,0.00
00:48:45.462 [TUNER] 221,1000,1739.96,1768.00,3.63,0.00,1876.82,1768.00,1.62,0.00
00:48:45.464 [TUNER] 222,1000,1940.03,1776.00,1.22,0.00,1948.15,1776.00,0.73,0.00
00:48:45.504 [TUNER] 223,1000,1940.03,1784.00,1.22,0.00,1948.15,1784.00,0.73,0.00
00:48:45.504 [TUNER] 224,1000,2038.23,1792.00,0.00,0.00,2008.65,1792.00,-0.06,0.00
00:48:45.506 [TUNER] 225,1000,2038.23,1800.00,0.00,0.00,2008.65,1800.00,-0.06,0.00
00:48:45.548 [TUNER] 226,1000,2120.23,1808.00,-1.07,0.00,1960.84,1808.00,0.66,0.00
00:48:45.550 [TUNER] 227,1000,2120.23,1816.00,-1.07,0.00,1960.84,1816.00,0.66,0.00
00:48:45.595 [TUNER] 228,1000,2125.70,1824.00,-1.20,0.00,1903.69,1824.00,1.58,0.00
00:48:45.595 [TUNER] 229,1000,2125.70,1832.00,-1.20,0.00,1903.69,1832.00,1.58,0.00
00:48:45.632 [TUNER] 230,1000,2047.61,1840.00,-0.20,0.00,1763.48,1840.00,3.76,0.00
