04:12:00.810 [TUNER] --- CSV START ---
04:12:00.810 [TUNER] Metadata,PID_0(P:12.35200 I:445.32941 D:0.00000),PID_1(P:13.37410 I:478.63708 D:0.00000)
04:12:00.811 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
04:12:04.968 [TUNER] 209,1000,1970.54,1882.88,2.25,0.00,1967.44,1882.88,2.33,0.00
04:12:05.002 [TUNER] 210,1000,2021.75,1891.89,1.74,0.00,1939.07,1891.89,2.92,0.00
04:12:05.003 [TUNER] 211,1000,2021.75,1900.90,1.74,0.00,1939.07,1900.90,2.92,0.00
04:12:05.036 [TUNER] 212,1000,2029.17,1909.91,1.78,0.00,1929.85,1909.91,3.29,0.00
04:12:05.038 [TUNER] 213,1000,2029.17,1918.92,1.78,0.00,1929.85,1918.92,3.29,0.00
04:12:05.072 [TUNER] 214,1000,2004.93,1927.93,2.25,0.00,1908.67,1927.93,3.85,0.00
04:12:05.108 [TUNER] 215,1000,2004.93,1936.94,2.25,0.00,1908.67,1936.94,3.85,0.00
04:12:05.109 [TUNER] 216,1000,1956.49,1945.95,3.08,0.00,1898.20,1945.95,4.29,0.00
04:12:05.142 [TUNER] 217,1000,1956.49,1954.95,3.08,0.00,1898.20,1954.95,4.29,0.00
04:12:05.143 [TUNER] 218,1000,1918.90,1963.96,3.83,0.00,1898.23,1963.96,4.61,0.00
04:12:05.177 [TUNER] 219,1000,1918.90,1972.97,3.83,0.00,1898.23,1972.97,4.61,0.00
04:12:05.214 [TUNER] 220,1000,1922.87,1981.98,4.07,0.00,1897.39,1981.98,4.96,0.00
04:12:05.214 [TUNER] 221,1000,1922.87,1990.99,4.07,0.00,1897.39,1990.99,4.96,0.00
04:12:05.250 [TUNER] 222,1000,1935.69,2000.00,4.21,0.00,1937.64,2000.00,4.74,0.00
04:12:05.250 [TUNER] 223,1000,1935.69,2000.00,4.21,0.00,1937.64,2000.00,4.74,0.00
04:12:05.284 [TUNER] 224,1000,2012.26,2000.00,3.25,0.00,1981.32,2000.00,4.18,0.00
04:12:05.284 [TUNER] 225,1000,2056.22,2000.00,3.25,0.00,2055.82,2000.00,4.18,0.00
04:12:05.318 [TUNER] 226,1000,2056.22,2000.00,2.67,0.00,2055.82,2000.00,3.14,0.00
04:12:05.353 [TUNER] 227,1000,2126.63,2000.00,1.73,0.00,2098.74,2000.00,2.50,0.00
04:12:05.355 [TUNER] 228,1000,2164.30,2000.00,1.73,0.00,2156.35,2000.00,2.50,0.00
